id,zh_CN

Menu_History,历史
Menu_Settings,设置
Menu_Info,关于

Menu_History_None,暂无历史记录

Menu_Settings_PickerSettings,抽取设置
Menu_Settings_Range,范围
Menu_Settings_Except,排除
Menu_Settings_Graphics,图像
Menu_Settings_Resolution,分辨率
Menu_Settings_Fullscreen,全屏
Menu_Settings_Allow_Cards,使用卡片
Menu_Settings_Others,杂项
Menu_Settings_Translations,翻译
Menu_Settings_IsTabAtBottom,设置栏置底
Menu_Settings_AutoEraseHistory,自动清空历史

Menu_Info_Info,关于
Menu_Info_Ver,版本
Menu_Info_Ver_Software,软件版本
Menu_Info_Ver_Datapack,数据包版本
Menu_Info_Description,说明
Menu_Info_Description_Author,作者
Menu_Info_Description_BugReport,错误反馈

Menu_Settings_Changed,改动将在重启软件后实行
